No,Kode,Makanan,Air(g),Energi(Kal),Protein(g),Lemak(g),Karbohidrat(g),Serat(g),Abu(g),Kalsium(mg),Fosfor(mg),Besi(mg),Natrium(mg),Kalium(mg),Tembaga(mg),Seng(mg),Retinol (mcg),β-karoten(mcg),Karoten total(mcg),Vit B1(mg),Vit B2(mg),Niasin(mg),Vitamin C(mg),BDD(%),Mentah/Olahan,Kelompok Makanan,Sumber TKPI 2019,Utama/Snack
178,BP043,Kerupuk kemplang panggang,9.4,356,9.7,1.1,76.9,1,3,62,129,2.9,-,-,-,-,7,-,280,0.36,-,-,-,100,Olahan,Umbi,KZGPI-1990,Snack
179,BP044,Kerupuk mie kuning goreng,7.2,476,0.1,21.1,71.3,4.2,0.3,57,36,4.6,-,109,0.1,0.2,-,-,333,0.22,-,0.9,-,100,Olahan,Umbi,KZGPI-1990,Snack
180,BP045,Kerupuk udang goreng,4.4,477,4.7,20.5,68.5,5,1.9,24,188,0.9,449,109,0.1,0.2,-,-,-,0.2,-,0.9,-,100,Olahan,Umbi,KZGMI-2001,Snack
181,BP046,Kue bangket,16.1,338,1.5,1.2,80.3,-,0.9,34,35,0.3,67,-,0.2,0.2,-,-,-,0.3,-,-,-,100,Olahan,Umbi,KZGMI-2001,Snack
182,BP047,Kue putu singkong,44.2,217,1.2,0.5,53.2,2.4,0.9,48,68,1.5,3,305,-,-,-,-,-,0.1,0.1,0.8,-,100,Olahan,Umbi,KZGMI-2001,Snack
183,BP048,Lanting getuk,4.2,422,0.9,10.8,80.4,1.4,3.8,206,104,3.6,-,-,-,-,-,-,-,0.43,-,-,-,100,Olahan,Umbi,KZGPI-1990,Snack
184,BP049,Mi golosor,82.9,71,0.2,0.8,15.9,0.1,0.2,117,5,0.2,-,-,-,-,-,-,112,0.05,0.02,-,-,100,Olahan,Umbi,KZGPI-1990,Utama
186,BP051,Mie Sagu,52.8,190,0.2,0.4,46.5,1.4,0.1,8,7,0.3,10,2.6,0.1,-,-,2000,-,-,0.4,-,0.2,100,Olahan,Umbi,BKP,Utama
187,BP052,Ongol-ongol sagu,75.3,111,0.3,2.7,21.2,0.3,0.5,79,15,1.7,-,-,-,-,-,-,-,0.06,-,-,-,100,Olahan,Umbi,KZGPI-1990,Snack
188,BP053,Oyek,12.6,351,0.9,0.9,84.9,4.3,0.7,60,36,2.1,5,229,0.1,0.5,-,-,-,0.02,0.02,0.5,0.2,100,Olahan,Umbi,BKP,Utama
189,BP054,Papeda,84.8,61,0.2,0.1,14.9,0.5,0.1,3,1,0.2,4,20,0.1,0.1,-,-,-,0.06,-,-,-,100,Olahan,Umbi,KZGMI-2001,Snack
192,BP057,Sagu forno,31.5,291,0.5,4,63.4,-,0.6,10,20,0.8,40,50,0.1,0.2,-,-,-,-,-,-,-,100,Olahan,Umbi,KZGMI-2001,Snack
193,BP058,Sagu Lemak (Kue Sagon),4.3,452,2.8,14.8,76.8,1.1,0.7,15,39,1.1,182,52.7,0.04,0.8,-,1220,-,0.32,0.04,0.1,0.2,100,Olahan,Umbi,BKP,Snack
194,BP059,Sagu manis,32.6,287,0.5,3.9,62.4,-,0.6,8,17,0.7,34,42,0.1,0.2,-,-,-,-,-,-,-,100,Olahan,Umbi,KZGMI-2001,Snack
196,BP061,Sagu sinole,22,354,0.8,8.3,68.9,-,0.1,10,30,0.8,30,11,0.2,0.3,-,-,-,-,-,-,-,100,Olahan,Umbi,KZGMI-2001,Snack
198,BP063,Tapai singkong,57.4,169,1.4,0.3,40.2,2,0.7,21,34,0.8,-,-,-,-,-,-,-,-,-,-,9,100,Olahan,Umbi,KZGPI-1990,Snack
208,BP073,Tiwul,11.2,353,2.4,1.1,83.4,6.5,1.6,55,95,4.7,5,670,0.2,0.8,-,-,-,0.02,0.02,0.1,3,100,Olahan,Umbi,BKP,Utama
245,CP001,"Kacang belimbing (kecipir), rebus",55.6,204,16.9,8.8,17.5,4.8,1.2,230,180,3.3,43,1098,3.24,2.3,-,-,-,0.2,0.48,0.7,-,100,Olahan,Kacang,KZGPI-1990,Snack
246,CP002,"Kacang bogor, goreng",3,479,12.7,23.2,58.9,1.2,2.2,135,184,2.9,-,-,-,-,-,-,-,0.25,0.45,4.1,-,35,Olahan,Kacang,KZGPI-1990,Snack
247,CP003,"Kacang bogor, rebus",61.2,161,7.7,2.8,27.1,2,1.2,56,134,1.4,-,-,-,-,-,-,-,0.1,-,-,-,35,Olahan,Kacang,KZGPI-1990,Snack
248,CP004,"Kacang gude, rebus",61.5,147,9,0.5,27.5,3.4,1.5,50,175,2,14,1126,0.8,2.7,-,12,-,0.1,0.07,13.2,-,100,Olahan,Kacang,KZGPI-1990,Snack
249,CP005,"Kacang hijau, rebus",71.3,109,8.7,0.5,18.3,1.5,1.2,95,149,1.5,447,657.8,1.4,2.8,-,18,120,0.12,0.04,0.4,3,100,Olahan,Kacang,KZGPI-1990,Snack
250,CP006,"Kacang kedelai, goreng",9.6,521,32.2,37.7,22.9,7.6,3.7,296,800,6.5,3492,11890,26.3,60,-,-,20,0.4,1.9,19,-,100,Olahan,Kacang,KZGPI-1990,Snack
